Amc twitter eng psych,affect,pos,neg,anx,anger,sad,Combine,min value,
Mean,0.0319476,0.0182464,0.0208205,0.018295,0.0309438,0.0193255,0.0229642,0.0182464,pos
Median,0.0220948,0.0142616,0.0184466,0.0184466,0.0184466,0.0184466,0.0210803,0.0220948,affect
Max,0.0073912,0.0089804,0.0023423,0.002528,0.0049116,0.0088872,0.0029509,0.0023423,neg
Min,0.0184466,0.0184466,0.0184466,0.0184466,0.0184466,0.0184466,0.0184466,0.0184466,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Amc twitter eng drive,drives,affiliation,achieve,power,reward,risk,Combine,Min value,
Mean,0.0073112,0.0039338,0.0224196,0.0249421,0.0364252,0.0176806,0.0065691,0.0039338,affiliation
Median,0.009069,0.0220377,0.0184466,0.0178596,0.0184466,0.0184466,0.0085239,0.009069,drives
Max,0.0056172,0.0038956,0.0030611,0.0029569,0.0025014,0.0010111,0.0015261,0.0010111,risk
Min,0.0184466,0.0184466,0.0184466,0.0184466,0.0184466,0.0184466,0.0184466,0.0184466,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Amc news psych,affect,pos,neg,anx,anger,sad,Combine,Min value,
Mean,0.6961203,0.1469857,3.6502648,0.2728603,0.1308084,0.0683913,6.7987088,0.0683913,sad
Median,0.3882816,0.052145,4.5804191,0.227922,0.121837,0.0884589,10.1124053,0.052145,pos
Max,0.3205601,0.1006912,0.8930098,0.0141297,0.0134315,0.0113597,3.6515771,0.0113597,sad
Min,0.2566186,0.0773615,4.1693749,0.2684547,2.4989661,0.1715272,150.7246831,0.0773615,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Amc news drive,drives,affiliation,achieve,power,reward,risk,Combine,Min value,
Mean,0.0270865,0.0493111,0.0837053,0.0205389,0.1126866,0.0193168,0.5406423,0.0193168,risk
Median,0.0196913,0.0561852,0.0641586,0.0257475,0.0835399,0.0218351,0.2242537,0.0196913,drives
Max,0.0276666,0.0267316,0.0196293,0.0142586,0.0340195,0.0308686,0.0914047,0.0142586,power
Min,0.0174428,0.29008,0.0423431,0.0121769,0.0578523,0.2649202,0.4684075,0.0121769,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
GM twitter eng psych,affect,pos,neg,anx,anger,sad,Combine,Min value,
Mean,0.0140033,0.0141425,0.0092794,0.0024973,0.008309,0.0006742,0.0018576,0.0006742,sad
Median,0.0017221,0.0037217,0.0037217,0.0037217,0.0037217,0.0037217,0.0017221,0.0017221,affect
Max,0.0032337,0.0036913,0.0037106,0.0038775,0.0039035,0.0034945,0.0021684,0.0032337,affect
Min,0.0037217,0.0037217,0.0037217,0.0037217,0.0037217,0.0037217,0.0037217,0.0037217,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
GM twitter eng drive,drives,affiliation,achieve,power,reward,risk,Combine,Min value,
Mean,0.0083805,0.0058751,0.0053203,0.0020585,0.0032115,0.0042298,0.0062488,0.0020585,power
Median,0.0073047,0.0048158,0.0037217,0.0037217,0.0037217,0.0037217,0.0077765,0.0048158,affiliation
Max,0.0043609,0.0042758,0.0028697,0.0039814,0.0042119,0.0053186,0.0043061,0.0028697,achieve
Min,0.0037593,0.0022043,0.0037217,0.0037217,0.0037217,0.0037217,0.0015389,0.0022043,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
GM news psych,affect,pos,neg,anx,anger,sad,Combine,Min value,
Mean,0.0428924,0.0278661,0.0403974,0.0532534,0.0256178,0.0244088,0.1930413,0.0244088,sad
Median,0.0431291,0.0283084,0.0302832,0.1582485,0.0266552,0.0253712,0.2013374,0.0253712,sad
Max,0.0174425,0.0105286,0.0128403,0.0059514,0.0089926,0.023704,0.0349454,0.0059514,anx
Min,0.0229303,0.0232022,0.0255598,0.0664031,0.0282187,0.02844,0.0390851,0.0229303,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
GM news drive,drives,affiliation,achieve,power,reward,risk,Combine,Min value,
Mean,0.0353774,0.0189146,0.0288042,0.0510403,0.0261281,0.0621182,0.1953132,0.0189146,affiliation
Median,0.0319228,0.0155989,0.0286922,0.043659,0.0266881,0.0657051,0.0724239,0.0155989,affiliation
Max,0.0204098,0.0201281,0.0226447,0.0241149,0.012088,0.0132281,0.0059656,0.012088,reward
Min,0.0209779,0.0300114,0.023834,0.0292242,0.0195676,0.0944511,0.0200083,0.0195676,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Nokia twitter eng psych,affect,pos,neg,anx,anger,sad,Combine,Min value,
Mean,0.0132138,0.0113301,0.0126955,0.0130225,0.0127476,0.0120726,0.0148038,0.0113301,pos
Median,0.0132656,0.0107134,0.0107134,0.0107134,0.0107134,0.0107134,0.0132656,invalid,invalid
Max,0.0109051,0.0126608,0.0201747,0.0069533,0.0071979,0.0104307,0.0051275,0.0069533,anxiety
Min,0.0107134,0.0107134,0.0107134,0.0107134,0.0107134,0.0107134,0.0107134,0.0107134,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Nokia twitter eng drive,drives,affiliation,achieve,power,reward,risk,Combine,Min value,
Mean,0.0077153,0.0065719,0.017021,0.0104274,0.0113118,0.011249,0.0083743,0.0065719,affiliation
Median,0.0091923,0.0107134,0.0107134,0.0107134,0.0107134,0.0107134,0.0091923,0.0091923,drives
Max,0.0083551,0.0171751,0.0087659,0.0070322,0.0090992,0.0069385,0.0142624,0.0069385,risk
Min,0.0107134,0.0107134,0.0107134,0.0107134,0.0107134,0.0107134,0.0107134,0.0107134,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Nokia news psych,affect,pos,neg,anx,anger,sad,Combine,Min value,
Mean,0.013047,0.0125866,0.0124907,0.0118545,0.0185232,0.0071015,0.0321937,0.0071015,sad
Median,0.0118385,0.0116375,0.0119404,0.011932,0.019636,0.0082775,0.0382321,0.0082775,sad
Max,0.0053614,0.0055956,0.0036741,0.0066805,0.0076528,0.0028585,0.0019846,0.0028585,sad
Min,0.0084364,0.0081229,0.0107625,0.0123777,0.0125809,0.0122194,0.020127,0.0081229,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Nokia news drive,drives,affiliation,achieve,power,reward,risk,Combine,Min value,
Mean,0.0126434,0.0119467,0.0130376,0.0128796,0.0110861,0.0081988,0.0171045,0.0081988,risk
Median,0.0111746,0.0101122,0.0137423,0.0125995,0.0126457,0.0083107,0.0312432,0.0083107,risk
Max,0.0099024,0.0080072,0.011102,0.0101511,0.0086991,0.0056656,0.0053526,0.0056656,risk
Min,0.0083218,0.0108433,0.0084781,0.0082712,0.0079738,0.0112435,0.0098155,0.0079738,